id	2020-04-14T19:18:55Z
sport	Running

attribute	data
startTime	2020-04-14T19:18:55Z
totalTime(s)	2842
distance(m)	6088
maximumSpeed(m/s)	2,896590277777778
calories(kcal)	506

index	time	latitude(deg)	longitude(deg)	altitude(m)	distance(m)	speed(m/s)
0	2020-04-14T19:18:57Z	48,83188247680664	2,3217995166778564	130	0	1,7748388979170058
1	2020-04-14T19:19:09Z	48,83202362060547	2,3215932846069336	119	21	2,5640201568603516
2	2020-04-14T19:19:12Z	48,83204650878906	2,3214926719665527	117	29	2,646149264441596
3	2020-04-14T19:19:15Z	48,83205032348633	2,3213932514190674	116	37	2,5840658611721463
4	2020-04-14T19:19:18Z	48,83207321166992	2,3213164806365967	117	43	2,637761433919271
5	2020-04-14T19:19:21Z	48,83210372924805	2,321228265762329	118	50	2,7118370268079968
6	2020-04-14T19:19:24Z	48,8321418762207	2,3211324214935303	120	58	2,799498505062527
7	2020-04-14T19:19:26Z	48,83218002319336	2,321033000946045	121	67	2,893953323364258
8	2020-04-14T19:19:30Z	48,832218170166016	2,3209381103515625	122	75	2,896590232849121
9	2020-04-14T19:19:33Z	48,83226013183594	2,320841073989868	122	83	2,8679010603162975
10	2020-04-14T19:19:37Z	48,83230209350586	2,3207428455352783	121	92	2,818327479892307
11	2020-04-14T19:19:40Z	48,83234786987305	2,320643663406372	121	101	2,7583119604322643
12	2020-04-14T19:19:43Z	48,83238220214844	2,3206052780151367	121	106	2,7433578173319497
13	2020-04-14T19:19:45Z	48,83241653442383	2,320591449737549	121	110	2,7363387743631997
14	2020-04-14T19:19:47Z	48,83244705200195	2,320594072341919	120	113	2,7346097098456488
15	2020-04-14T19:19:49Z	48,832481384277344	2,3206050395965576	120	117	2,735526031917996
16	2020-04-14T19:19:51Z	48,832523345947266	2,320601224899292	120	122	2,7095731099446616
17	2020-04-14T19:19:52Z	48,83257293701172	2,3205997943878174	120	127	2,675140963660346
18	2020-04-14T19:19:53Z	48,83262252807617	2,3206002712249756	120	133	2,6350556479560003
19	2020-04-14T19:19:54Z	48,83267593383789	2,320601224899292	120	138	2,592144277360704
20	2020-04-14T19:19:55Z	48,83271789550781	2,320604085922241	120	143	2,562008433871799
21	2020-04-14T19:19:56Z	48,832763671875	2,320608615875244	120	148	2,534262869093153
22	2020-04-14T19:19:57Z	48,832801818847656	2,3206140995025635	120	153	2,5081104702419705
23	2020-04-14T19:19:58Z	48,83284378051758	2,32062029838562	120	157	2,4827549192640515
24	2020-04-14T19:19:59Z	48,83287811279297	2,3206310272216797	121	161	2,461389170752631
25	2020-04-14T19:20:00Z	48,832908630371094	2,320643901824951	121	165	2,442527347140842
26	2020-04-14T19:20:01Z	48,83293914794922	2,3206586837768555	122	168	2,4253349834018283
27	2020-04-14T19:20:02Z	48,83296585083008	2,320674180984497	123	171	2,4089773495992026
28	2020-04-14T19:20:05Z	48,8330078125	2,320716142654419	124	177	2,382403744591607
29	2020-04-14T19:20:08Z	48,83305358886719	2,320769786834717	124	183	2,352427111731635
30	2020-04-14T19:20:11Z	48,83310317993164	2,320831537246704	125	191	2,320182058546278
31	2020-04-14T19:20:13Z	48,83315658569336	2,320897102355957	125	198	2,28680239783393
32	2020-04-14T19:20:15Z	48,833194732666016	2,3209621906280518	126	205	2,285805278354221
33	2020-04-14T19:20:17Z	48,83323287963867	2,321031093597412	127	211	2,297175990210639
34	2020-04-14T19:20:19Z	48,83326721191406	2,3211028575897217	128	218	2,316792541080051
35	2020-04-14T19:20:20Z	48,83330154418945	2,3211758136749268	128	224	2,340531614091661
36	2020-04-14T19:20:29Z	48,83352279663086	2,3215248584747314	132	260	2,3613124423556857
37	2020-04-14T19:20:42Z	48,83378601074219	2,3217756748199463	137	294	2,3720590273539224
38	2020-04-14T19:20:54Z	48,83407211303711	2,3218798637390137	133	327	2,3508996433681912
39	2020-04-14T19:21:01Z	48,834171295166016	2,3218576908111572	132	338	2,3485840691460504
40	2020-04-14T19:21:07Z	48,83424377441406	2,3218014240264893	132	347	2,3500826623704696
41	2020-04-14T19:21:11Z	48,8343391418457	2,3216874599456787	132	361	2,316034369998508
42	2020-04-14T19:21:14Z	48,83443832397461	2,3215394020080566	133	376	2,2664602597554526
43	2020-04-14T19:21:17Z	48,8344841003418	2,321450710296631	133	385	2,2815325525071883
44	2020-04-14T19:21:19Z	48,834537506103516	2,321352481842041	132	394	2,311664687262641
45	2020-04-14T19:21:21Z	48,83458709716797	2,3212478160858154	132	403	2,3518376880221896
46	2020-04-14T19:21:23Z	48,83463668823242	2,3211400508880615	131	413	2,3970301946004233
47	2020-04-14T19:21:26Z	48,83469009399414	2,321040391921997	130	422	2,4100889099968805
48	2020-04-14T19:21:29Z	48,834739685058594	2,3209409713745117	128	432	2,4149494700961642
49	2020-04-14T19:21:32Z	48,83479309082031	2,3208417892456055	127	441	2,4143449465433755
50	2020-04-14T19:21:35Z	48,8348503112793	2,32074236869812	125	451	2,4110076162550182
51	2020-04-14T19:21:38Z	48,834903717041016	2,3206658363342285	124	459	2,4003320270114474
52	2020-04-14T19:21:41Z	48,834964752197266	2,320598840713501	123	467	2,3837253782484265
53	2020-04-14T19:21:44Z	48,83502197265625	2,320538282394409	123	475	2,3631641599867077
54	2020-04-14T19:21:47Z	48,8350830078125	2,3204808235168457	122	483	2,3406256569756403
55	2020-04-14T19:21:49Z	48,835113525390625	2,3204643726348877	122	487	2,3148157861497665
56	2020-04-14T19:21:50Z	48,83513641357422	2,3204684257507324	122	489	2,285567124684652
57	2020-04-14T19:21:51Z	48,83515167236328	2,320485830307007	123	491	2,2540264659457736
58	2020-04-14T19:21:52Z	48,83516311645508	2,320510149002075	123	493	2,221339146296183
59	2020-04-14T19:22:01Z	48,835262298583984	2,320641279220581	121	508	2,2488358285692
60	2020-04-14T19:22:09Z	48,83538818359375	2,3208260536193848	117	528	2,3165504137674966
61	2020-04-14T19:22:12Z	48,83544921875	2,320906162261963	116	537	2,329644627041287
62	2020-04-14T19:22:15Z	48,83551025390625	2,3209869861602783	114	546	2,338256041208903
63	2020-04-14T19:22:18Z	48,835575103759766	2,321068048477173	113	555	2,3438792758517795
64	2020-04-14T19:22:21Z	48,835636138916016	2,3211493492126465	112	564	2,3480078909132214
65	2020-04-14T19:22:25Z	48,835697174072266	2,321232795715332	111	573	2,3566256629096136
66	2020-04-14T19:22:28Z	48,835758209228516	2,321317434310913	110	582	2,365558942159017
67	2020-04-14T19:22:31Z	48,835819244384766	2,3214030265808105	109	591	2,374702559577094
68	2020-04-14T19:22:34Z	48,83587646484375	2,321488857269287	109	601	2,3839513460795083
69	2020-04-14T19:22:38Z	48,835933685302734	2,3215701580047607	108	609	2,3760326703389487
70	2020-04-14T19:22:41Z	48,83599090576172	2,3216500282287598	108	618	2,3610379960801864
71	2020-04-14T19:22:44Z	48,8360481262207	2,3217291831970215	108	626	2,341325547960069
72	2020-04-14T19:22:47Z	48,83610153198242	2,321807622909546	108	635	2,319254345364041
73	2020-04-14T19:22:51Z	48,836151123046875	2,3218963146209717	107	643	2,314233250088162
74	2020-04-14T19:22:54Z	48,83619689941406	2,321988821029663	107	652	2,3138806555006237
75	2020-04-14T19:22:57Z	48,83624267578125	2,3220839500427246	106	661	2,3166404830084906
76	2020-04-14T19:23:00Z	48,83628845214844	2,3221802711486816	106	669	2,320956918928358
77	2020-04-14T19:23:04Z	48,836334228515625	2,3222787380218506	105	678	2,33237796359592
78	2020-04-14T19:23:07Z	48,83638381958008	2,3223793506622314	105	687	2,3484015464782715
79	2020-04-14T19:23:10Z	48,836429595947266	2,322481393814087	105	696	2,367493841383192
80	2020-04-14T19:23:13Z	48,83647918701172	2,3225841522216797	104	706	2,3881202273898654
81	2020-04-14T19:23:25Z	48,83667755126953	2,3228986263275146	101	737	2,376154793633355
82	2020-04-14T19:23:27Z	48,83672332763672	2,3229422569274902	100	744	2,356933487786187
83	2020-04-14T19:23:29Z	48,83674621582031	2,3229336738586426	100	746	2,3316020435757108
84	2020-04-14T19:23:36Z	48,83680725097656	2,3229482173919678	101	753	2,3132051361931696
85	2020-04-14T19:23:42Z	48,836883544921875	2,322965145111084	102	762	2,2917699813842773
86	2020-04-14T19:23:48Z	48,836971282958984	2,322983741760254	104	771	2,268309063381619
87	2020-04-14T19:23:54Z	48,83706283569336	2,323003053665161	105	782	2,243835131327311
88	2020-04-14T19:23:58Z	48,837127685546875	2,322974920272827	107	790	2,2443856133355036
89	2020-04-14T19:24:02Z	48,83719253540039	2,322927713394165	110	797	2,254351774851481
90	2020-04-14T19:24:06Z	48,837249755859375	2,3228678703308105	113	805	2,270594702826606
91	2020-04-14T19:24:09Z	48,83730697631836	2,3228015899658203	116	813	2,2899760140313044
92	2020-04-14T19:24:12Z	48,83737564086914	2,3227739334106445	117	821	2,293894820743137
93	2020-04-14T19:24:15Z	48,83745193481445	2,3227555751800537	118	829	2,2946249114142523
94	2020-04-14T19:24:18Z	48,837528228759766	2,3227436542510986	118	838	2,2932296329074435
95	2020-04-14T19:24:21Z	48,83760452270508	2,322734832763672	118	847	2,2907715373569064
96	2020-04-14T19:24:26Z	48,83768081665039	2,3227498531341553	119	855	2,2853263219197593
97	2020-04-14T19:24:31Z	48,83776092529297	2,3227779865264893	120	864	2,27751890818278
98	2020-04-14T19:24:36Z	48,83784103393555	2,322815179824829	121	873	2,2681363423665366
99	2020-04-14T19:24:41Z	48,83791732788086	2,322856903076172	123	883	2,257966465420193
100	2020-04-14T19:24:51Z	48,83807373046875	2,3228330612182617	121	900	2,3554023106892905
101	2020-04-14T19:25:01Z	48,83823013305664	2,322770357131958	118	918	2,505379252963596
102	2020-04-14T19:25:04Z	48,83830642700195	2,322758197784424	117	927	2,550173865424262
103	2020-04-14T19:25:07Z	48,83837890625	2,3227500915527344	117	935	2,5878275765313044
104	2020-04-14T19:25:10Z	48,83845138549805	2,322744369506836	117	943	2,620720863342285
105	2020-04-14T19:25:12Z	48,838523864746094	2,322740316390991	117	951	2,651233673095703
106	2020-04-14T19:25:14Z	48,83857727050781	2,3227505683898926	117	957	2,6601015196906195
107	2020-04-14T19:25:16Z	48,838623046875	2,322768211364746	117	962	2,6574182510375977
108	2020-04-14T19:25:18Z	48,838661193847656	2,3227908611297607	117	966	2,6470335324605307
109	2020-04-14T19:25:19Z	48,83869552612305	2,3228161334991455	116	971	2,632798353830973
110	2020-04-14T19:25:21Z	48,83872604370117	2,3228347301483154	116	975	2,629132800632053
111	2020-04-14T19:25:22Z	48,8387565612793	2,322852849960327	117	978	2,625861962636312
112	2020-04-14T19:25:23Z	48,83877944946289	2,322871208190918	117	981	2,622854709625244
113	2020-04-14T19:25:24Z	48,83880615234375	2,3228893280029297	117	984	2,6199788517422147
114	2020-04-14T19:25:26Z	48,838863372802734	2,3229317665100098	116	991	2,5937920146518283
115	2020-04-14T19:25:27Z	48,838932037353516	2,322984457015991	116	1000	2,5579852528042264
116	2020-04-14T19:25:28Z	48,839012145996094	2,3230438232421875	115	1010	2,51576476626926
117	2020-04-14T19:25:29Z	48,83909606933594	2,3231067657470703	114	1020	2,47033781475491
118	2020-04-14T19:25:32Z	48,839168548583984	2,3231592178344727	113	1029	2,458753055996365
119	2020-04-14T19:25:34Z	48,839237213134766	2,3232109546661377	112	1038	2,4579789903428817
120	2020-04-14T19:25:37Z	48,83930969238281	2,3232622146606445	111	1047	2,4644117885165744
121	2020-04-14T19:25:39Z	48,83938217163086	2,323312997817993	110	1056	2,474448415968153
122	2020-04-14T19:25:54Z	48,83968734741211	2,323502779006958	115	1092	2,244382699330648
123	2020-04-14T19:26:08Z	48,8399658203125	2,3236584663391113	113	1125	2,3857352468702526
124	2020-04-14T19:26:18Z	48,84023666381836	2,3238394260406494	110	1158	2,4491254488627114
125	2020-04-14T19:26:27Z	48,84053039550781	2,324056386947632	110	1194	2,5203691588507757
126	2020-04-14T19:26:37Z	48,84078598022461	2,324268102645874	110	1227	2,451114389631483
127	2020-04-14T19:26:49Z	48,841033935546875	2,324550151824951	107	1261	2,395313051011827
128	2020-04-14T19:26:56Z	48,84111022949219	2,324739933013916	104	1278	2,360926204257541
129	2020-04-14T19:27:02Z	48,84116744995117	2,3249523639678955	100	1294	2,3235464096069336
130	2020-04-14T19:27:05Z	48,84120178222656	2,325045347213745	99	1302	2,3206596904330783
131	2020-04-14T19:27:08Z	48,84123229980469	2,3251352310180664	98	1310	2,3240754339430065
132	2020-04-14T19:27:11Z	48,84126281738281	2,325223207473755	97	1317	2,3316926426357694
133	2020-04-14T19:27:14Z	48,8412971496582	2,325309991836548	96	1324	2,3414103190104165
134	2020-04-14T19:27:17Z	48,84132766723633	2,3254013061523438	95	1332	2,3487080468071833
135	2020-04-14T19:27:19Z	48,84136199951172	2,325493335723877	94	1340	2,3571915096706815
136	2020-04-14T19:27:22Z	48,84139633178711	2,3255860805511475	94	1347	2,366464932759603
137	2020-04-14T19:27:24Z	48,8414306640625	2,325678825378418	93	1355	2,3761338657803006
138	2020-04-14T19:27:27Z	48,841468811035156	2,325782537460327	92	1364	2,378516991933187
139	2020-04-14T19:27:30Z	48,84151077270508	2,3258907794952393	92	1373	2,378264003329807
140	2020-04-14T19:27:33Z	48,841552734375	2,3260021209716797	92	1383	2,376253604888916
141	2020-04-14T19:27:35Z	48,84159469604492	2,326115131378174	91	1392	2,373364236619737
142	2020-04-14T19:27:39Z	48,84162521362305	2,326232671737671	91	1401	2,3533611827426486
143	2020-04-14T19:27:42Z	48,84164810180664	2,3263537883758545	90	1411	2,3252744144863553
144	2020-04-14T19:27:46Z	48,841670989990234	2,326477289199829	89	1420	2,2917985916137695
145	2020-04-14T19:27:49Z	48,84169006347656	2,32660174369812	88	1429	2,2556283738878036
146	2020-04-14T19:27:52Z	48,841697692871094	2,326718807220459	88	1438	2,2556749979654946
147	2020-04-14T19:27:55Z	48,84169387817383	2,326833486557007	88	1447	2,268062432607015
148	2020-04-14T19:27:58Z	48,8416862487793	2,326946973800659	88	1455	2,2886774275037975
149	2020-04-14T19:28:00Z	48,841678619384766	2,3270599842071533	87	1463	2,313405672709147
150	2020-04-14T19:28:04Z	48,84168243408203	2,3272409439086914	86	1477	2,3183645142449274
