id	2020-04-12T19:29:05Z
sport	Running

attribute	data
startTime	2020-04-12T19:29:05Z
totalTime(s)	2746
distance(m)	6080
maximumSpeed(m/s)	3,165318611111111
calories(kcal)	492

index	time	latitude(deg)	longitude(deg)	altitude(m)	distance(m)	speed(m/s)
0	2020-04-12T19:29:23Z	48,83173370361328	2,322111129760742	114	0	0,7796747816933526
1	2020-04-12T19:29:43Z	48,83193588256836	2,3217196464538574	114	36	2,2239949968126083
2	2020-04-12T19:29:54Z	48,83208084106445	2,3212966918945312	112	71	3,1653187010023327
3	2020-04-12T19:30:05Z	48,83222579956055	2,320849657058716	114	108	2,6128678851657443
4	2020-04-12T19:30:16Z	48,83225631713867	2,320629835128784	116	124	2,460581726498074
5	2020-04-12T19:30:19Z	48,832298278808594	2,32060170173645	116	129	2,482574250962999
6	2020-04-12T19:30:21Z	48,83235168457031	2,320584297180176	116	135	2,5297098689609103
7	2020-04-12T19:30:23Z	48,83241653442383	2,3205745220184326	117	142	2,593607372707791
8	2020-04-12T19:30:25Z	48,832481384277344	2,320568323135376	117	150	2,665886084238688
9	2020-04-12T19:30:28Z	48,832550048828125	2,320577383041382	117	157	2,695679134792752
10	2020-04-12T19:30:30Z	48,83262252807617	2,32059645652771	117	165	2,716458373599582
11	2020-04-12T19:30:33Z	48,83269500732422	2,320622444152832	118	174	2,7312281396653915
12	2020-04-12T19:30:35Z	48,83277130126953	2,3206517696380615	118	183	2,742993301815457
13	2020-04-12T19:30:38Z	48,83283615112305	2,320688486099243	119	190	2,711030642191569
14	2020-04-12T19:30:41Z	48,8328971862793	2,3207318782806396	119	198	2,6576190524631076
15	2020-04-12T19:30:44Z	48,83295440673828	2,32077956199646	119	205	2,589908175998264
16	2020-04-12T19:30:46Z	48,83301544189453	2,3208296298980713	119	213	2,515047656165229
17	2020-04-12T19:30:49Z	48,83308792114258	2,320863962173462	119	221	2,4923941824171276
18	2020-04-12T19:30:51Z	48,83316421508789	2,3208940029144287	119	230	2,484112580617269
19	2020-04-12T19:30:54Z	48,833248138427734	2,3209214210510254	120	239	2,4854122267829046
20	2020-04-12T19:30:56Z	48,83333206176758	2,3209471702575684	120	249	2,491502496931288
21	2020-04-12T19:31:00Z	48,83340835571289	2,3209919929504395	120	258	2,453035248650445
22	2020-04-12T19:31:03Z	48,8334846496582	2,3210432529449463	121	268	2,400929662916395
23	2020-04-12T19:31:07Z	48,833560943603516	2,321098566055298	122	277	2,339731322394477
24	2020-04-12T19:31:10Z	48,833641052246094	2,3211562633514404	122	287	2,273987134297689
25	2020-04-12T19:31:14Z	48,833717346191406	2,3212156295776367	124	296	2,2517559263441296
26	2020-04-12T19:31:18Z	48,83379364013672	2,3212780952453613	127	306	2,2429815928141275
27	2020-04-12T19:31:22Z	48,833866119384766	2,3213424682617188	130	315	2,2431784205966525
28	2020-04-12T19:31:26Z	48,83394241333008	2,3214080333709717	134	325	2,2478612263997397
29	2020-04-12T19:31:41Z	48,83427810668945	2,321486473083496	143	363	2,412365542517768
30	2020-04-12T19:31:56Z	48,83457565307617	2,321606397628784	148	397	2,334690888722738
31	2020-04-12T19:32:06Z	48,834877014160156	2,321690320968628	151	431	2,4527777565850153
32	2020-04-12T19:32:13Z	48,835052490234375	2,3217179775238037	152	451	2,317164209153917
33	2020-04-12T19:32:18Z	48,83518981933594	2,321706771850586	153	466	2,3250076505872936
34	2020-04-12T19:32:28Z	48,83547592163086	2,3217756748199463	151	498	2,469486130608453
35	2020-04-12T19:32:38Z	48,835777282714844	2,3218743801116943	146	532	2,42655250761244
36	2020-04-12T19:32:51Z	48,8360595703125	2,3221275806427	137	569	2,3540194829305015
37	2020-04-12T19:33:03Z	48,83631896972656	2,3223354816436768	128	602	2,316193315717909
38	2020-04-12T19:33:12Z	48,83654022216797	2,3225739002227783	127	632	2,3932154973347983
39	2020-04-12T19:33:21Z	48,83676528930664	2,3229267597198486	122	668	2,396432558695475
40	2020-04-12T19:33:38Z	48,83704376220703	2,3232481479644775	124	707	2,1756815910339355
41	2020-04-12T19:33:41Z	48,83708572387695	2,323352575302124	124	716	2,1633124351501465
42	2020-04-12T19:33:44Z	48,83708190917969	2,3234310150146484	124	721	2,196176979276869
43	2020-04-12T19:33:46Z	48,83709716796875	2,3234798908233643	124	725	2,2067896525065103
44	2020-04-12T19:33:47Z	48,83711624145508	2,3235301971435547	124	730	2,21970001856486
45	2020-04-12T19:33:49Z	48,83713912963867	2,3235812187194824	125	734	2,2341423564487033
46	2020-04-12T19:33:50Z	48,837162017822266	2,3236327171325684	125	739	2,249350282880995
47	2020-04-12T19:33:51Z	48,8371696472168	2,3236658573150635	125	741	2,2565232382880316
48	2020-04-12T19:33:52Z	48,83717346191406	2,3236918449401855	125	743	2,2611345185173883
49	2020-04-12T19:33:53Z	48,83717346191406	2,3237128257751465	125	745	2,264037662082248
50	2020-04-12T19:33:53Z	48,8371696472168	2,3237314224243164	125	746	2,2660870022243924
51	2020-04-12T19:33:57Z	48,83716583251953	2,3238251209259033	124	753	2,282486491733127
